id,name,FIPSSTCO,Russian,German,Irish,Italian,Polish
1,Atlantic,NJ34001,1.4,12.5,16.5,17.9,4.1
2,Bergen,NJ34003,3.2,7.9,11.8,17.1,6
3,Burlington,NJ34005,1.5,17.2,19.8,16.1,6.7
4,Camden,NJ34007,1.7,14.3,18.8,15.9,5.2
5,Cape-May,NJ34009,1,20.5,28.8,18.8,6.8
6,Cumberland,NJ34011,0.8,11.5,11.2,14.3,2.7
7,Essex,NJ34013,1.6,3.6,5.7,9.3,2.4
8,Gloucester,NJ34015,1.2,21.3,28,25.7,6.2
9,Hudson,NJ34017,1,3.7,6.1,7.5,3.1
10,Hunterdon,NJ34019,2.4,22.9,20.6,21.9,9.7
11,Mercer,NJ34021,1.9,10.1,11.2,13.2,6
12,Middlesex,NJ34023,2,6.1,9.4,11.6,6.1
13,Monmouth,NJ34025,2.9,12.3,21.7,24.3,6.9
14,Morris,NJ34027,2.5,14.2,17.8,22.1,6.8
15,Ocean,NJ34029,1.8,15.4,21.3,25.3,8.7
16,Passaic,NJ34031,1.4,6,7.2,12.6,4.3
17,Salem,NJ34033,0.6,20.7,19.4,13.6,4.3
18,Somerset,NJ34035,2,9.4,11.1,14.3,6.3
19,Sussex,NJ34037,1.3,19.3,21.9,23.2,8.6
20,Union,NJ34039,1.4,6.2,8.3,10,4.9
21,Warren,NJ34041,1.7,22.8,20.6,20.8,8.1
