id,name,FIPSSTCO,total_pop,german,irish,italian,polish
1,Atlantic,34001,4,12.52,16.59,17.92,4.08
2,Bergen,34003,5,7.92,11.8,17.08,5.98
3,Burlington,34005,2,17.21,19.8,16.13,6.71
4,Camden,34007,2,14.25,18.79,15.91,5.21
5,Cape-May,34009,8,20.46,28.81,18.84,6.8
6,Cumberland,34011,9,11.48,11.15,14.27,2.69
7,Essex,34013,8,3.59,5.71,9.38,2.4
8,Gloucester,34015,2,21.27,26.96,25.67,6.23
9,Hudson,34017,2,3.67,6.09,7.48,3.11
10,Hunterdon,34019,4,22.9,20.62,21.85,9.69
11,Mercer,34021,5,10.17,11.22,13.21,6.04
12,Middlesex,34023,5,6.04,9.41,11.57,6.13
13,Monmouth,34025,8,12.33,21.66,24.33,6.87
14,Morris,34027,7,14.2,17.78,22.08,6.79
15,Ocean,34029,10,15.4,21.28,25.31,8.73
16,Passaic,34031,9,6.01,7.15,12.62,4.34
17,Salem,34033,6,20.71,19.38,13.62,4.32
18,Somerset,34035,8,9.48,11.07,14.32,6.33
19,Sussex,34037,9,19.37,21.92,23.23,8.55
20,Union,34039,2,6.23,8.25,9.97,4.88
21,Warren,34041,12,22.82,20.59,20.84,8.09
